Date,Apprehensions
01/10/1999,91410
01/11/1999,76196
01/12/1999,71252
01/01/2000,185979
01/02/2000,211328
01/03/2000,220063
01/04/2000,180050
01/05/2000,166296
01/06/2000,115093
01/07/2000,113956
01/08/2000,114312
01/09/2000,97744
01/10/2000,82632
01/11/2000,67709
01/12/2000,55081
01/01/2001,125090
01/02/2001,152229
01/03/2001,170580
01/04/2001,142813
01/05/2001,122927
01/06/2001,89131
01/07/2001,83602
01/08/2001,84648
01/09/2001,59276
01/10/2001,37812
01/11/2001,32506
01/12/2001,31501
01/01/2002,79793
01/02/2002,95724
01/03/2002,126992
01/04/2002,121921
01/05/2002,97424
01/06/2002,78655
01/07/2002,76661
01/08/2002,82557
01/09/2002,68263
01/10/2002,61792
01/11/2002,47731
01/12/2002,37824
01/01/2003,86925
01/02/2003,96869
01/03/2003,98399
01/04/2003,75359
01/05/2003,88690
01/06/2003,75530
01/07/2003,79284
01/08/2003,84486
01/09/2003,72176
01/10/2003,65391
01/11/2003,57894
01/12/2003,43614
01/01/2004,92521
01/02/2004,110669
01/03/2004,154981
01/04/2004,135468
01/05/2004,118726
01/06/2004,94590
01/07/2004,92165
01/08/2004,93246
01/09/2004,80017
01/10/2004,75913
01/11/2004,65135
01/12/2004,48406
01/01/2005,93020
01/02/2005,113775
01/03/2005,143048
01/04/2005,140062
01/05/2005,115823
01/06/2005,90786
01/07/2005,94954
01/08/2005,96733
01/09/2005,93741
01/10/2005,83557
01/11/2005,70975
01/12/2005,52673
01/01/2006,101195
01/02/2006,125046
01/03/2006,160696
01/04/2006,126538
01/05/2006,105450
01/06/2006,68366
01/07/2006,59641
01/08/2006,59751
01/09/2006,58084
01/10/2006,60713
01/11/2006,51594
01/12/2006,40527
01/01/2007,71934
01/02/2007,79268
01/03/2007,114137
01/04/2007,104465
01/05/2007,88504
01/06/2007,71338
01/07/2007,66782
01/08/2007,59795
01/09/2007,49581
01/10/2007,51339
01/11/2007,42209
01/12/2007,31802
01/01/2008,59028
01/02/2008,73483
01/03/2008,89770
01/04/2008,91566
01/05/2008,69233
01/06/2008,53854
01/07/2008,49472
01/08/2008,48541
01/09/2008,44708
01/10/2008,42938
01/11/2008,32780
01/12/2008,25947
01/01/2009,44502
01/02/2009,49211
01/03/2009,67342
01/04/2009,58493
01/05/2009,50884
01/06/2009,46044
01/07/2009,43843
01/08/2009,43522
01/09/2009,35359
01/10/2009,40890
01/11/2009,32815
01/12/2009,25034
01/01/2010,34784
01/02/2010,42790
01/03/2010,61361
01/04/2010,55237
01/05/2010,47045
01/06/2010,32955
01/07/2010,25609
01/08/2010,26415
01/09/2010,22796
01/10/2010,26165
01/11/2010,22405
01/12/2010,19429
01/01/2011,23926
01/02/2011,28786
01/03/2011,42014
01/04/2011,36251
01/05/2011,31236
01/06/2011,27166
01/07/2011,23170
01/08/2011,24166
01/09/2011,22863
01/10/2011,25612
01/11/2011,23368
01/12/2011,18983
01/01/2012,25714
01/02/2012,31579
01/03/2012,42218
01/04/2012,40628
01/05/2012,36966
01/06/2012,30669
01/07/2012,26978
01/08/2012,27567
01/09/2012,26591
01/10/2012,28929
01/11/2012,27636
01/12/2012,23243
01/01/2013,26921
01/02/2013,35042
01/03/2013,47293
01/04/2013,48212
01/05/2013,43856
01/06/2013,34436
01/07/2013,33230
01/08/2013,33797
01/09/2013,31802
01/10/2013,35312
01/11/2013,31896
01/12/2013,29528
01/01/2014,28668
01/02/2014,36403
01/03/2014,49596
01/04/2014,51502
01/05/2014,60683
01/06/2014,57862
01/07/2014,40708
01/08/2014,31388
01/09/2014,25825
01/10/2014,26450
01/11/2014,24641
01/12/2014,25019
01/01/2015,21514
01/02/2015,24376
01/03/2015,29791
01/04/2015,29750
01/05/2015,31576
01/06/2015,29303
01/07/2015,28388
01/08/2015,30239
01/09/2015,30286
01/10/2015,32724
01/11/2015,32838
01/12/2015,37014
01/01/2016,23758
01/02/2016,26072
01/03/2016,33316
01/04/2016,38089
01/05/2016,40337
01/06/2016,34450
01/07/2016,33723
01/08/2016,37048
01/09/2016,39501
01/10/2016,46184
01/11/2016,47211
01/12/2016,43251
01/01/2017,31576
01/02/2017,18754
01/03/2017,12195
01/04/2017,11127
01/05/2017,14519
01/06/2017,16087
01/07/2017,18187
01/08/2017,22288
01/09/2017,22537
01/10/2017,25488
01/11/2017,29085
01/12/2017,28995
01/01/2018,25975
01/02/2018,26666
01/03/2018,37390
01/04/2018,38243
01/05/2018,40339
01/06/2018,34089
01/07/2018,31299
01/08/2018,37524
01/09/2018,41486
01/10/2018,51005
01/11/2018,51857
01/12/2018,50751
01/01/2019,47979
01/02/2019,66883
01/03/2019,92833
01/04/2019,99273
01/05/2019,132856
01/06/2019,94902
01/07/2019,71978
01/08/2019,50684
01/09/2019,40507
01/10/2019,35402
01/11/2019,33524
01/12/2019,32853
01/01/2020,29205
01/02/2020,30077
01/03/2020,23308
01/04/2020,1179
01/05/2020,1549
01/06/2020,2366
01/07/2020,3160
01/08/2020,4541
01/09/2020,6444
01/10/2020,6041
01/11/2020,7881
01/12/2020,10546
01/01/2021,12787
01/02/2021,25325
01/03/2021,61970
01/04/2021,62860
01/05/2021,61165
01/06/2021,75614
01/07/2021,106443
01/08/2021,103397
01/09/2021,84957
01/10/2021,159113
01/11/2021,167015
01/12/2021,170602
01/01/2022,147877
01/02/2022,159170
01/03/2022,211181
01/04/2022,203504
01/05/2022,224370
01/06/2022,192399
01/07/2022,181834
01/08/2022,181774
01/09/2022,207597
01/10/2022,207205
01/11/2022,209565
01/12/2022,223959
01/01/2023,131178
01/02/2023,132356
01/03/2023,165869
01/04/2023,186071
01/05/2023,172247
01/06/2023,99538
01/07/2023,132642
01/08/2023,181054
01/09/2023,218763
01/10/2023,188749
01/11/2023,191106
01/12/2023,249740
01/01/2024,124215
01/02/2024,140641
01/03/2024,137473
01/04/2024,128895
01/05/2024,117905
01/06/2024,83532
01/07/2024,56400
01/08/2024,58009
01/09/2024,53858
01/10/2024,56524
01/11/2024,46616
01/12/2024,47316
01/01/2025,29116